type_num,lower_whisker,lower_quartile,median,upper_quartile,upper_whisker
1,1.616,1.616,1.616,1.616,1.616
2,1.5688,1.588,1.604,1.624,1.638
3,1.5027,1.5695000000000001,1.623,1.6744999999999999,1.7413
