label,model_seed,cf_seed,proximity_mean,im1_mean,feature_set,type
cherry_model_run_24,10,42,1.5348441378908455,0.8974555805894485,Restricted,1
cherry_model_run_25,62,42,1.4372394134356392,0.8946667786698524,Restricted,1
cherry_model_run_26,25,42,1.5097562283980284,0.8987978531576879,Restricted,1
cherry_model_run_27,73,42,1.551035564377315,0.9148793037421418,Restricted,1
cherry_model_run_28,31,42,1.52149669492025,0.9110092223140988,Restricted,1
cherry_model_run_29,95,42,1.5749713512143448,0.8848254491726911,Restricted,1
cherry_model_run_30,94,42,1.5024866569489743,0.9180094751443526,Restricted,1
cherry_model_run_31,64,42,1.534045776090427,0.907674482518848,Restricted,1
cherry_model_run_32,58,42,1.545142586916756,0.911520648061342,Restricted,1
cherry_model_run_33,77,42,1.5711984421104097,0.8952037200984244,Restricted,1
cherry_model_run_34,59,42,1.546329875129316,0.9039530174203072,Restricted,1
cherry_model_run_35,76,42,1.451506675074324,0.8909734729844206,Restricted,1
cherry_model_run_36,86,42,1.487601308585371,0.9049499435846886,Restricted,1
cherry_model_run_37,8,42,1.544666122876904,0.9140396628509644,Restricted,1
cherry_model_run_38,24,42,1.5181531799079573,0.8863350727252542,Restricted,1
cherry_model_run_39,54,42,1.5424962659146566,0.91690517190975,Restricted,1
cherry_model_run_40,19,42,1.5142640311944902,0.9015014405605648,Restricted,1
cherry_model_run_41,27,42,1.5760019213101315,0.886043765751145,Restricted,1
cherry_model_run_42,39,42,1.56863622249156,0.8947291495343123,Restricted,1
cherry_model_run_43,37,42,1.5419598554835177,0.9050651677379504,Restricted,1
cherry_model_run_44,28,42,1.506453007817483,0.897534811038774,Restricted,1
cherry_model_run_45,72,42,1.5392395984343243,0.9060649306373952,Restricted,1
cherry_model_run_46,66,42,1.5450022041695055,0.889760521232442,Restricted,1
cherry_model_run_47,30,42,1.5124991738458684,0.9047780238491188,Restricted,1
cherry_model_run_48,35,42,1.4925013387474884,0.9259684469611312,Restricted,1
cherry_model_run_49,14,42,1.4721994556197315,0.9123555918233348,Restricted,1
cherry_model_run_50,4,42,1.4925605523798533,0.8958968878397994,Restricted,1
cherry_cf_run_1,42,23,1.5566812719074503,0.9080477468640166,Restricted,2
cherry_cf_run_2,42,77,1.2938470546092786,0.8977528856362788,Restricted,2
cherry_cf_run_3,42,90,1.6221345061494257,0.9067529427981958,Restricted,2
cherry_cf_run_4,42,0,1.501299374894797,0.8930215417818351,Restricted,2
cherry_cf_run_5,42,72,1.359264489251595,0.8968291664118235,Restricted,2
cherry_cf_run_6,42,12,1.438471034787091,0.9022224210905244,Restricted,2
cherry_cf_run_7,42,29,1.367954864825088,0.9021948073666818,Restricted,2
cherry_cf_run_8,42,38,1.400159493740325,0.9000867766225684,Restricted,2
cherry_cf_run_9,42,87,1.5589872262119553,0.926542090640238,Restricted,2
cherry_cf_run_10,42,14,1.3348016067048152,0.9183893631834844,Restricted,2
cherry_cf_run_11,42,31,1.553934162148708,0.9306328593559704,Restricted,2
cherry_cf_run_12,42,21,1.4856005604202442,0.9087401651786003,Restricted,2
cherry_cf_run_13,42,27,1.506802131528958,0.9385931075912396,Restricted,2
cherry_cf_run_14,42,33,1.5201407264006692,0.9217805058663692,Restricted,2
cherry_cf_run_15,42,53,1.4589189097001314,0.9216966990952856,Restricted,2
cherry_cf_run_16,42,39,1.57471778433152,0.9216397451095888,Restricted,2
cherry_cf_run_17,42,63,1.4059670612642323,0.9212690993425136,Restricted,2
cherry_cf_run_18,42,96,1.4724473662808868,0.9073488685354888,Restricted,2
cherry_cf_run_19,42,59,1.4638320143932355,0.9004385556661142,Restricted,2
cherry_cf_run_20,42,46,1.5162235725439923,0.9006838073894619,Restricted,2
cherry_cf_run_21,42,17,1.5774815142431915,0.915447626206039,Restricted,2
cherry_cf_run_22,42,5,1.3104229571426618,0.9199446660996649,Restricted,2
cherry_cf_run_23,42,73,1.4067522350030892,0.907686543134221,Restricted,2
cherry_cf_run_24,42,47,1.5838444278352946,0.9022720319401802,Restricted,2
cherry_cf_run_25,42,24,1.4114691657693546,0.9103394857137744,Restricted,2
cherry_cf_run_26,42,32,1.4331425742500876,0.9142120866909864,Restricted,2
cherry_cf_run_27,42,7,1.4119725798281966,0.906345807089751,Restricted,2
cherry_cf_run_28,42,79,1.4424485990800913,0.9160831784973332,Restricted,2
cherry_cf_run_29,42,97,1.3713708693525393,0.8975862199135008,Restricted,2
cherry_cf_run_30,42,4,1.3571739427856877,0.9109522175820278,Restricted,2
cherry_cf_run_31,42,84,1.4991065371586874,0.9116207112117408,Restricted,2
cherry_cf_run_32,42,62,1.5399733400806082,0.9204487724215766,Restricted,2
cherry_cf_run_33,42,45,1.5237981240379577,0.9283317830181526,Restricted,2
cherry_cf_run_34,42,75,1.5580204171705103,0.9179002003547512,Restricted,2
cherry_cf_run_35,42,18,1.49264168322625,0.9084914758357154,Restricted,2
cherry_cf_run_36,42,43,1.50894628668922,0.9122776288370664,Restricted,2
cherry_cf_run_37,42,91,1.416353049598889,0.8961123059143431,Restricted,2
cherry_cf_run_38,42,35,1.5141032924872555,0.914406982786658,Restricted,2
cherry_cf_run_39,42,67,1.3632270697533286,0.9185100778502742,Restricted,2
cherry_cf_run_40,42,48,1.4202211580443895,0.9070588816349916,Restricted,2
cherry_cf_run_41,42,71,1.300539716975213,0.9271395063537868,Restricted,2
cherry_cf_run_42,42,25,1.6835275504879343,0.9238673629620072,Restricted,2
cherry_cf_run_43,42,85,1.5196726039531008,0.9081101372154112,Restricted,2
cherry_cf_run_44,42,10,1.3583922213295467,0.9055470449442744,Restricted,2
cherry_cf_run_45,42,74,1.4007878453919562,0.9116975670798372,Restricted,2
cherry_cf_run_46,42,36,1.2275420492664026,0.91555111753261,Restricted,2
cherry_cf_run_47,42,69,1.4831095774892706,0.9076372305093954,Restricted,2
cherry_cf_run_48,42,92,1.467115444886218,0.9151276770084158,Restricted,2
cherry_cf_run_49,42,61,1.4141883096341834,0.925894874940576,Restricted,2
cherry_cf_run_50,42,60,1.4769004290717749,0.909826588086608,Restricted,2
